order_id,customer_id,product_id,order_date,quantity,unit_price,channel,status
O000066,C00614,P00195,2024-02-17,2,51.19,mobile,completed
O000067,C00389,P00081,2023-02-28,1,187.69,mobile,completed
O000068,C00195,P00143,2024-11-07,1,175.76,phone,completed
O000069,C00045,P00065,2024-08-16,1,122.71,mobile,completed
O000070,C00502,P00016,2023-05-30,1,120.98,marketplace,completed
O000071,C00082,P00084,2023-02-11,1,101.48,phone,completed
O000072,C00632,P00024,2024-09-11,4,159.15,marketplace,completed
O000073,C00545,P00030,2024-02-06,4,200.99,phone,completed
O000074,C00591,P00087,2023-06-09,2,112.31,marketplace,completed
O000075,C00547,P00168,2024-05-29,3,241.1,phone,completed
O000076,C00332,P00146,2024-12-01,3,173.68,mobile,completed
O000077,C00407,P00099,2024-03-04,4,24.71,web,completed
O000078,C00220,P00125,2024-07-14,1,162.69,marketplace,completed
O000079,C00365,P00125,2023-01-19,2,166.09,mobile,completed
O000080,C00223,P00143,2023-04-26,1,156.63,web,completed
O000081,C00308,P00216,2024-07-12,4,44.44,web,completed
O000082,C00124,P00164,2024-07-18,4,71.64,mobile,completed
O000083,C00154,P00021,2024-08-02,1,79.46,marketplace,completed
O000084,C00517,P00103,2024-01-17,3,206.21,web,completed
O000085,C00409,P00113,2023-07-10,1,57.3,marketplace,completed
O000086,C00586,P00167,2023-03-13,3,57.38,mobile,completed
O000087,C00424,P00090,2024-03-03,3,146.53,phone,completed
O000088,C00453,P00101,2023-11-04,2,229.71,mobile,completed
O000089,C00249,P00093,2023-12-11,1,149.12,mobile,completed
O000090,C00551,P00131,2024-11-01,3,172.53,mobile,completed
O000091,C00597,P00128,2023-06-22,3,65.21,web,cancelled
O000092,C00069,P00026,2023-08-09,2,206.5,phone,completed
O000093,C00521,P00136,2024-05-18,1,123.76,web,completed
O000094,C00023,P00207,2024-11-17,1,79.38,web,completed
O000095,C00310,P00121,2023-08-03,3,95.82,mobile,completed
O000096,C00569,P00129,2024-12-30,1,245.59,marketplace,completed
O000097,C00641,P00157,2023-07-13,1,97.19,mobile,completed
O000098,C00142,P00064,2023-11-30,4,42.35,mobile,completed
O000099,C00579,P00125,2024-10-27,4,183.41,mobile,completed
O000100,C00424,P00054,2023-09-28,4,63.88,phone,completed
O000101,C00274,P00115,2023-09-17,1,29.81,mobile,completed
O000102,C00481,P00093,2024-03-30,1,150.12,marketplace,completed
O000103,C00277,P00167,2023-06-03,1,59.04,phone,completed
O000104,C00333,P00084,2023-07-11,1,98.64,phone,completed
O000105,C00586,P00164,2024-11-10,2,70.2,web,completed
O000106,C00041,P00191,2024-01-31,4,35.87,phone,completed
O000107,C00433,P00015,2024-01-27,1,257.18,marketplace,completed
O000108,C00185,P00005,2024-04-12,2,138.55,mobile,completed
O000109,C00093,P00141,2023-11-18,2,126.14,marketplace,completed
O000110,C00394,P00058,2023-10-04,1,22.18,mobile,completed
O000111,C00149,P00168,2023-11-10,4,246.02,mobile,completed
O000112,C00135,P00010,2024-08-18,3,148.58,mobile,completed
O000113,C00244,P00124,2023-01-03,4,79.12,mobile,completed
O000114,C00635,P00204,2024-03-24,1,111.11,mobile,completed
O000115,C00306,P00066,2023-02-11,1,121.09,marketplace,completed
O000116,C00587,P00006,2024-11-25,1,21.29,mobile,completed
O000117,C00438,P00138,2024-12-16,3,85.45,web,completed
O000118,C00060,P00063,2023-09-09,1,125.83,web,completed
O000119,C00325,P00050,2024-03-11,2,107.55,marketplace,completed
O000120,C00185,P00155,2024-02-04,2,25.41,mobile,completed
O000121,C00631,P00082,2024-06-28,2,170.49,phone,completed
O000122,C00070,P00161,2023-11-28,2,28.03,marketplace,completed
O000123,C00030,P00139,2023-09-15,2,198.34,mobile,completed
O000124,C00643,P00151,2023-06-13,4,144.07,phone,completed
O000125,C00324,P00162,2024-11-12,1,151.51,web,completed
O000126,C00385,P00161,2023-06-27,1,28.33,mobile,completed
O000127,C00033,P00166,2024-03-10,4,101.97,marketplace,completed
O000128,C00115,P00201,2023-11-28,2,7.01,marketplace,completed
O000129,C00349,P00096,2024-08-30,2,159.64,phone,completed
O000130,C00136,P00113,2024-07-20,3,60.38,mobile,completed
O000131,C00090,P00206,2024-07-13,1,146.37,marketplace,completed
O000132,C00215,P00025,2023-12-24,2,140.57,marketplace,completed
O000133,C00118,P00119,2023-06-19,3,177.57,web,completed
O000134,C00588,P00039,2024-12-12,2,124.26,mobile,completed
O000135,C00052,P00119,2023-05-24,2,171.68,web,completed
O000136,C00457,P00033,2023-11-13,3,127.92,marketplace,completed
O000137,C00582,P00103,2023-09-24,3,219.29,mobile,completed
O000138,C00230,P00199,2023-03-20,2,74.51,mobile,completed
O000139,C00333,P00121,2024-10-26,1,91.45,phone,completed
O000140,C00589,P00039,2024-01-05,2,114.02,mobile,completed
O000141,C00473,P00188,2024-01-21,1,87.43,phone,completed
O000142,C00606,P00099,2024-03-25,1,21.96,phone,completed
O000143,C00588,P00173,2024-08-30,2,39.84,phone,completed
O000144,C00112,P00193,2023-04-06,3,240.27,phone,completed
O000145,C00151,P00027,2023-10-06,1,138.27,mobile,completed
O000146,C00312,P00127,2023-12-17,1,126.49,phone,completed
O000147,C00302,P00154,2024-07-07,1,79.92,web,completed
O000148,C00241,P00018,2023-11-06,3,71.0,phone,completed
O000149,C00487,P00185,2024-06-23,1,240.3,mobile,completed
O000150,C00138,P00174,2023-06-07,3,21.52,web,completed
O000151,C00426,P00016,2023-03-02,2,113.05,phone,completed
O000152,C00191,P00177,2024-11-12,2,11.7,phone,completed
O000153,C00035,P00197,2024-04-05,3,53.79,web,completed
O000154,C00287,P00151,2024-03-08,5,145.65,phone,completed
O000155,C00594,P00048,2024-01-28,3,30.78,marketplace,completed
O000156,C00432,P00136,2024-04-12,2,125.13,marketplace,completed
O000157,C00267,P00110,2024-12-13,2,112.52,web,completed
O000158,C00085,P00076,2024-04-24,5,80.45,mobile,completed
O000159,C00179,P00128,2024-01-19,1,59.47,mobile,completed
O000160,C00034,P00144,2024-05-17,3,56.73,marketplace,completed
O000161,C00244,P00081,2024-12-24,1,214.02,phone,completed
O000162,C00054,P00078,2024-07-14,3,77.85,mobile,completed
O000163,C00400,P00213,2023-12-23,4,149.46,phone,completed
O000164,C00043,P00188,2023-08-15,1,98.33,web,completed
O000165,C00101,P00149,2024-11-23,2,128.57,marketplace,completed
O000166,C00346,P00184,2024-05-14,3,75.06,mobile,completed
O000167,C00360,P00027,2023-09-25,1,134.22,mobile,completed
O000168,C00223,P00109,2024-07-13,2,50.6,web,completed
O000169,C00190,P00047,2024-06-28,1,68.97,web,completed
O000170,C00438,P00130,2024-06-17,4,137.35,marketplace,completed
O000171,C00272,P00029,2023-08-11,1,67.12,mobile,completed
O000172,C00442,P00196,2023-12-11,2,193.74,mobile,completed
O000173,C00457,P00050,2024-04-13,1,98.76,web,completed
O000174,C00401,P00055,2024-11-14,4,164.31,web,completed
O000175,C00004,P00202,2024-01-27,3,164.56,phone,completed
O000176,C00648,P00207,2024-12-10,4,76.57,web,completed
O000177,C00394,P00150,2023-11-04,3,56.39,mobile,completed
O000178,C00195,P00183,2023-09-13,2,103.84,mobile,completed
O000179,C00512,P00019,2023-01-31,1,232.57,phone,completed
O000180,C00536,P00002,2024-12-16,1,12.74,phone,completed
O000181,C00483,P00062,2024-12-04,4,120.93,web,completed
O000182,C00175,P00075,2023-07-30,1,181.46,web,completed
O000183,C00412,P00047,2024-09-24,3,68.14,marketplace,completed
O000184,C00281,P00080,2023-04-12,1,28.54,mobile,completed
O000185,C00648,P00072,2024-08-09,1,130.55,phone,completed
O000186,C00291,P00003,2024-08-25,1,50.04,phone,completed
O000187,C00179,P00196,2024-06-15,1,192.68,web,completed
O000188,C00242,P00192,2024-03-30,2,33.46,mobile,cancelled
O000189,C00214,P00052,2023-04-09,5,215.78,marketplace,completed
O000190,C00045,P00049,2023-02-14,3,49.28,web,completed
O000191,C00054,P00117,2024-05-06,1,185.08,mobile,completed
O000192,C00430,P00004,2023-05-13,1,67.43,mobile,completed
O000193,C00385,P00139,2024-08-02,1,198.68,mobile,completed
O000194,C00140,P00203,2023-03-03,1,137.75,phone,completed
O000195,C00114,P00142,2024-07-08,1,109.69,phone,completed
O000196,C00627,P00062,2023-12-20,4,131.79,mobile,completed
O000197,C00286,P00098,2024-03-16,2,58.85,web,completed
O000198,C00588,P00095,2024-07-18,2,207.84,web,completed
O000199,C00101,P00016,2023-11-30,3,117.6,phone,completed
O000200,C00245,P00028,2024-01-11,2,35.29,web,completed
O000201,C00142,P00123,2023-01-14,4,140.49,phone,completed
O000202,C00341,P00158,2023-06-04,2,43.88,web,completed
O000203,C00344,P00128,2023-09-12,2,65.96,web,completed
O000204,C00573,P00139,2024-01-26,1,180.96,web,completed
O000205,C00595,P00092,2024-03-02,1,109.37,mobile,completed
O000206,C00464,P00090,2024-08-06,2,130.61,phone,completed
O000207,C00068,P00045,2024-01-16,2,63.98,mobile,completed
O000208,C00283,P00202,2024-11-12,4,168.14,web,completed
O000209,C00555,P00196,2024-06-18,2,188.65,mobile,completed
O000210,C00533,P00183,2023-12-28,1,92.58,marketplace,completed
O000211,C00456,P00161,2023-11-27,1,29.93,phone,completed
O000212,C00049,P00064,2023-09-18,1,42.03,mobile,completed
O000213,C00158,P00209,2023-10-27,4,14.03,mobile,completed
O000214,C00036,P00019,2023-07-25,1,214.6,marketplace,completed
O000215,C00512,P00072,2024-12-21,5,122.7,mobile,cancelled
O000216,C00297,P00159,2024-12-07,2,73.5,mobile,completed
O000217,C00316,P00193,2024-09-10,3,215.85,web,completed
O000218,C00285,P00084,2023-11-22,1,95.44,mobile,completed
O000219,C00524,P00192,2023-01-20,5,34.11,web,completed
O000220,C00360,P00158,2024-11-19,4,45.73,marketplace,completed
O000221,C00435,P00042,2024-12-21,3,195.35,phone,completed
O000222,C00605,P00037,2023-04-27,2,213.31,phone,completed
O000223,C00141,P00171,2023-03-16,1,136.58,mobile,completed
O000224,C00573,P00178,2023-06-05,1,157.78,phone,completed
O000225,C00295,P00010,2023-07-12,5,152.29,phone,completed
O000226,C00596,P00106,2023-05-30,1,198.01,phone,completed
O000227,C00018,P00124,2024-03-06,5,83.22,marketplace,completed
O000228,C00430,P00015,2023-05-17,4,235.56,marketplace,completed
O000229,C00172,P00111,2023-02-11,2,187.95,marketplace,completed
O000230,C00014,P00131,2024-11-02,2,175.02,mobile,completed
O000231,C00227,P00149,2024-01-29,1,125.6,mobile,completed
O000232,C00372,P00030,2024-09-07,1,198.76,mobile,completed
O000233,C00146,P00145,2024-09-23,1,211.81,mobile,completed
O000234,C00496,P00084,2023-09-20,1,94.34,phone,cancelled
O000235,C00068,P00049,2023-02-05,2,46.82,marketplace,completed
O000236,C00093,P00047,2024-05-24,1,62.79,mobile,completed
O000237,C00518,P00120,2024-10-15,1,133.94,web,completed
O000238,C00102,P00023,2023-03-25,1,199.81,mobile,completed
O000239,C00389,P00208,2024-11-25,1,16.87,phone,completed
O000240,C00370,P00106,2023-07-03,5,199.22,marketplace,completed
O000241,C00455,P00016,2024-02-28,1,120.33,mobile,completed
O000242,C00377,P00122,2024-02-26,1,194.31,mobile,completed
O000243,C00411,P00202,2023-01-11,1,149.9,web,completed
O000244,C00435,P00061,2024-07-28,1,95.21,phone,completed
O000245,C00415,P00134,2023-08-28,2,90.3,phone,completed
O000246,C00031,P00058,2024-01-24,1,21.02,web,completed
O000247,C00637,P00028,2024-07-24,5,37.52,web,completed
O000248,C00554,P00196,2024-08-11,1,194.07,web,completed
O000249,C00034,P00004,2024-12-10,1,66.82,mobile,completed
O000250,C00113,P00114,2024-02-28,2,121.49,phone,completed
O000251,C00632,P00195,2024-05-18,2,51.37,marketplace,completed
O000252,C00598,P00109,2024-08-16,2,49.1,web,completed
O000253,C00254,P00149,2024-08-15,1,129.95,mobile,completed
O000254,C00039,P00030,2024-05-09,4,203.03,phone,completed
O000255,C00387,P00176,2024-05-16,1,96.07,phone,completed
O000256,C00348,P00031,2023-10-02,2,64.32,mobile,completed
O000257,C00549,P00142,2024-04-13,2,112.82,mobile,completed
O000258,C00593,P00019,2023-09-04,1,231.1,web,completed
O000259,C00310,P00134,2024-03-26,2,88.76,marketplace,completed
O000260,C00020,P00148,2023-12-07,1,49.87,mobile,completed
O000261,C00630,P00108,2024-03-15,3,86.88,phone,completed
O000262,C00446,P00012,2024-12-01,2,237.69,phone,completed
O000263,C00242,P00041,2023-09-29,1,134.76,phone,completed
O000264,C00433,P00062,2023-07-26,3,126.69,web,completed
O000265,C00044,P00117,2023-06-21,3,180.17,phone,completed
O000266,C00373,P00003,2024-08-28,1,49.86,web,completed
O000267,C00538,P00073,2023-11-19,3,69.69,marketplace,completed
O000268,C00242,P00031,2024-01-12,3,67.17,phone,completed
O000269,C00384,P00036,2023-07-06,1,113.0,web,completed
O000270,C00377,P00170,2023-09-28,5,193.66,marketplace,completed
O000271,C00260,P00022,2023-01-18,3,13.34,phone,completed
O000272,C00403,P00157,2023-09-22,1,101.5,marketplace,completed
O000273,C00417,P00087,2023-09-15,4,114.22,web,completed
O000274,C00103,P00043,2023-08-24,2,99.87,mobile,completed
O000275,C00054,P00047,2024-06-19,3,64.01,mobile,completed
O000276,C00529,P00061,2024-04-25,2,84.49,mobile,completed
O000277,C00608,P00173,2024-10-16,2,37.12,marketplace,completed
O000278,C00230,P00093,2024-09-10,1,167.0,web,completed
O000279,C00440,P00096,2024-12-08,1,144.92,marketplace,completed
O000280,C00465,P00154,2023-05-05,1,80.25,phone,completed
O000281,C00212,P00108,2023-04-10,3,82.08,mobile,completed
O000282,C00269,P00115,2024-12-29,1,27.46,mobile,completed
O000283,C00408,P00103,2024-04-15,2,206.84,mobile,completed
O000284,C00483,P00171,2024-07-03,1,125.04,marketplace,completed
O000285,C00573,P00017,2024-12-30,2,99.03,web,completed
O000286,C00544,P00124,2024-03-18,4,80.53,phone,completed
O000287,C00441,P00032,2023-04-29,2,86.85,marketplace,completed
O000288,C00504,P00133,2024-11-17,4,197.78,mobile,completed
O000289,C00479,P00194,2024-02-27,1,113.3,phone,completed
O000290,C00152,P00201,2023-04-08,5,7.24,web,completed
O000291,C00600,P00087,2023-10-24,3,113.4,mobile,completed
O000292,C00097,P00019,2024-03-20,1,216.42,marketplace,completed
O000293,C00027,P00019,2024-03-20,1,216.42,web,completed
O000294,C00404,P00019,2024-03-20,1,216.42,web,completed
O000295,C00609,P00069,2024-10-08,3,186.53,web,completed
O000296,C00583,P00015,2023-10-08,1,254.14,mobile,completed
O000297,C00391,P00010,2023-06-30,1,144.18,web,completed
O000298,C00413,P00079,2023-11-20,4,161.96,marketplace,completed
O000299,C00618,P00070,2024-05-08,3,188.76,mobile,completed
O000300,C00615,P00044,2023-11-01,1,67.44,phone,completed
O000301,C00475,P00182,2023-03-17,1,92.64,mobile,completed
O000302,C00490,P00071,2024-05-08,2,132.41,marketplace,completed
O000303,C00079,P00064,2023-05-05,3,40.98,web,completed
O000304,C00084,P00177,2024-01-25,2,11.4,web,completed
O000305,C00322,P00195,2023-04-06,3,50.84,phone,completed
O000306,C00081,P00198,2024-08-09,1,75.65,marketplace,completed
O000307,C00415,P00028,2024-11-02,1,35.06,phone,completed
O000308,C00196,P00158,2023-09-17,2,43.98,web,completed
O000309,C00552,P00088,2024-09-22,2,14.52,mobile,completed
O000310,C00497,P00203,2023-03-14,1,132.21,phone,completed
O000311,C00106,P00196,2023-01-17,1,191.18,phone,completed
O000312,C00526,P00209,2024-12-22,3,13.56,phone,completed
O000313,C00485,P00014,2023-07-19,2,71.33,web,completed
O000314,C00238,P00149,2024-01-11,1,127.17,mobile,completed
O000315,C00400,P00162,2024-03-23,3,152.43,phone,completed
O000316,C00089,P00161,2024-10-05,5,28.05,phone,completed
O000317,C00215,P00097,2023-04-19,1,76.17,web,completed
O000318,C00066,P00147,2024-12-31,2,220.02,marketplace,completed
O000319,C00571,P00089,2023-12-06,2,176.13,marketplace,completed
O000320,C00626,P00042,2024-11-14,3,203.49,web,completed
O000321,C00300,P00006,2024-09-28,2,21.97,phone,completed
O000322,C00207,P00193,2024-08-13,1,236.19,phone,completed
O000323,C00425,P00026,2024-12-18,2,198.46,marketplace,completed
O000324,C00420,P00106,2024-04-24,2,199.99,phone,completed
O000325,C00087,P00150,2024-12-09,1,61.06,marketplace,completed
O000326,C00060,P00067,2023-09-26,3,201.96,marketplace,completed
O000327,C00151,P00119,2023-12-01,4,177.74,phone,completed
O000328,C00415,P00101,2023-12-14,3,246.45,mobile,completed
O000329,C00554,P00038,2024-11-06,1,46.39,marketplace,completed
O000330,C00265,P00133,2023-07-02,2,209.75,mobile,completed
O000331,C00363,P00125,2024-10-05,1,171.1,web,completed
O000332,C00596,P00046,2023-02-10,3,54.97,mobile,completed
O000333,C00254,P00135,2023-10-25,3,130.82,web,completed
O000334,C00095,P00093,2023-10-07,2,156.19,web,completed
O000335,C00405,P00069,2023-12-03,1,185.26,marketplace,completed
O000336,C00148,P00185,2024-03-21,4,253.8,mobile,completed
O000337,C00034,P00212,2024-01-03,2,75.09,mobile,completed
O000338,C00042,P00139,2024-12-06,2,183.0,mobile,completed
O000339,C00432,P00118,2023-04-09,1,8.71,web,completed
O000340,C00070,P00115,2024-12-02,1,26.92,web,completed
O000341,C00142,P00119,2023-11-30,3,188.38,phone,completed
O000342,C00239,P00213,2024-08-13,1,158.26,phone,completed
O000343,C00586,P00015,2023-10-16,3,258.42,marketplace,completed
O000344,C00584,P00030,2024-03-02,1,214.43,mobile,completed
O000345,C00594,P00018,2024-08-04,1,70.33,phone,completed
O000346,C00025,P00137,2023-03-13,2,145.04,marketplace,completed
O000347,C00158,P00031,2023-11-12,2,61.65,marketplace,completed
O000348,C00146,P00065,2024-12-09,1,126.16,phone,completed
O000349,C00243,P00135,2024-11-12,4,122.85,phone,completed
O000350,C00418,P00171,2024-01-21,1,131.27,mobile,completed
O000351,C00312,P00019,2024-11-22,2,225.54,phone,completed
O000352,C00434,P00086,2023-12-14,1,15.12,phone,completed
O000353,C00494,P00209,2023-02-05,1,13.49,marketplace,completed
O000354,C00547,P00189,2024-03-31,2,57.85,web,completed
O000355,C00626,P00189,2023-09-15,1,56.09,marketplace,completed
O000356,C00216,P00160,2024-11-08,3,113.25,phone,completed
O000357,C00010,P00158,2024-12-13,1,47.18,mobile,cancelled
O000358,C00456,P00207,2023-11-28,1,76.26,web,completed
O000359,C00128,P00174,2023-10-27,1,21.02,phone,completed
O000360,C00197,P00089,2023-11-06,3,173.79,web,completed
O000361,C00621,P00116,2024-09-23,1,146.49,mobile,completed
O000362,C00580,P00171,2023-01-07,2,133.8,mobile,completed
O000363,C00281,P00059,2023-02-25,1,107.45,mobile,completed
O000364,C00003,P00023,2024-10-16,2,194.28,phone,completed
O000365,C00478,P00011,2024-05-03,1,168.85,phone,completed
O000366,C00402,P00008,2023-11-02,1,72.24,mobile,completed
O000367,C00169,P00008,2023-10-12,5,67.89,marketplace,completed
O000368,C00257,P00041,2023-09-23,3,143.43,mobile,completed
O000369,C00615,P00108,2023-04-01,1,85.33,phone,completed
O000370,C00067,P00192,2024-08-14,5,33.6,mobile,completed
O000371,C00302,P00209,2023-02-22,2,14.78,phone,completed
O000372,C00439,P00182,2023-11-22,3,97.3,web,completed
O000373,C00608,P00011,2023-10-16,2,162.84,mobile,completed
O000374,C00141,P00063,2024-11-17,1,132.92,web,completed
O000375,C00150,P00125,2023-02-20,5,169.68,mobile,completed
O000376,C00573,P00136,2023-12-25,2,119.74,web,completed
O000377,C00479,P00102,2023-12-02,4,70.17,marketplace,completed
O000378,C00508,P00149,2024-10-19,1,139.13,mobile,completed
O000379,C00340,P00096,2024-11-25,2,156.23,phone,completed
O000380,C00298,P00055,2023-06-24,1,159.02,phone,completed
O000381,C00179,P00136,2023-06-13,1,120.98,marketplace,completed
O000382,C00141,P00082,2024-10-16,1,156.61,phone,completed
O000383,C00540,P00034,2024-05-14,1,170.42,phone,completed
O000384,C00614,P00032,2024-11-05,3,88.0,phone,completed
O000385,C00336,P00106,2024-12-21,2,211.0,mobile,completed
O000386,C00482,P00125,2023-02-14,5,167.34,web,completed
O000387,C00383,P00183,2023-05-20,3,99.06,phone,completed
O000388,C00225,P00208,2024-07-05,1,17.99,mobile,completed
O000389,C00261,P00091,2023-12-17,1,121.97,web,completed
O000390,C00437,P00044,2023-04-23,1,68.13,phone,completed
O000391,C00078,P00178,2023-12-24,1,144.72,marketplace,completed
O000392,C00122,P00125,2024-11-16,2,168.89,web,completed
O000393,C00282,P00103,2023-11-01,1,216.35,mobile,completed
O000394,C00289,P00079,2024-06-26,3,149.88,marketplace,completed
O000395,C00153,P00189,2024-08-29,2,57.56,phone,completed
O000396,C00349,P00098,2023-07-15,2,57.9,web,completed
O000397,C00143,P00104,2023-09-25,1,75.32,mobile,completed
O000398,C00414,P00022,2023-09-19,3,12.51,marketplace,completed
O000399,C00645,P00002,2023-10-05,4,13.67,phone,completed
O000400,C00463,P00084,2024-12-22,2,94.3,marketplace,completed
O000401,C00072,P00033,2023-03-20,1,125.59,phone,completed
O000402,C00421,P00098,2023-09-01,1,58.29,phone,completed
O000403,C00134,P00041,2023-05-12,2,149.56,mobile,completed
O000404,C00283,P00208,2023-09-22,4,17.79,mobile,completed
O000405,C00503,P00081,2023-01-07,1,201.62,phone,completed
O000406,C00305,P00010,2023-12-22,2,149.75,phone,completed
O000407,C00188,P00060,2024-04-12,4,89.34,web,completed
O000408,C00223,P00006,2023-11-18,1,20.27,phone,completed
O000409,C00169,P00030,2023-11-27,3,220.11,marketplace,completed
O000410,C00409,P00003,2023-06-26,2,52.64,mobile,completed
O000411,C00070,P00023,2023-11-19,4,195.98,web,completed
O000412,C00019,P00096,2024-02-22,1,158.37,web,completed
O000413,C00452,P00040,2023-05-28,1,100.41,marketplace,completed
O000414,C00106,P00018,2023-05-29,1,70.78,phone,completed
O000415,C00245,P00190,2024-06-12,1,59.86,mobile,completed
O000416,C00099,P00163,2023-03-18,1,187.37,mobile,completed
O000417,C00555,P00004,2024-07-12,3,69.06,phone,completed
O000418,C00399,P00031,2024-12-03,1,63.52,mobile,completed
O000419,C00309,P00036,2023-12-20,2,105.3,phone,completed
O000420,C00615,P00053,2024-12-24,5,239.12,marketplace,completed
O000421,C00326,P00187,2024-12-23,2,29.41,phone,completed
O000422,C00014,P00019,2023-02-26,1,231.07,mobile,completed
O000423,C00511,P00051,2023-01-18,1,101.96,marketplace,completed
O000424,C00337,P00164,2023-06-21,1,72.62,mobile,completed
O000425,C00340,P00014,2023-08-28,2,68.96,marketplace,completed
O000426,C00391,P00022,2023-07-29,5,12.98,marketplace,completed
O000427,C00210,P00016,2023-06-03,1,120.87,mobile,completed
O000428,C00435,P00084,2023-03-19,1,95.03,mobile,completed
O000429,C00369,P00123,2024-04-06,5,157.07,phone,completed
O000430,C00494,P00206,2023-11-10,2,148.67,web,completed
O000431,C00180,P00187,2024-08-13,4,29.03,marketplace,completed
O000432,C00201,P00121,2023-11-11,2,91.49,mobile,completed
O000433,C00405,P00017,2024-11-23,3,99.16,marketplace,completed
O000434,C00580,P00127,2023-11-13,1,128.32,mobile,completed
O000435,C00378,P00187,2023-06-13,4,28.93,web,completed
O000436,C00029,P00170,2024-05-11,2,179.75,mobile,completed
O000437,C00013,P00194,2023-08-14,1,120.53,web,completed
O000438,C00170,P00181,2024-08-20,5,30.43,phone,completed
O000439,C00092,P00126,2023-08-07,2,109.11,web,completed
O000440,C00173,P00144,2024-04-30,3,58.43,phone,completed
O000441,C00384,P00041,2023-01-02,2,145.42,mobile,completed
O000442,C00061,P00098,2024-06-24,4,60.56,mobile,completed
